,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
0,1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",2,1
1,2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",3,1
2,3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",2,1
3,4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",1,1
4,5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",0,0
5,6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",1,1
6,7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",1,1
7,8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",2,1
8,9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",1,1
9,10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",0,0
10,11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",2,1
11,12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",2,1
12,13,HomeGoods,TN,35.04903869,-89.73581482,240601,"35.04903869,-89.73581482",1,1
13,14,HomeGoods,TN,35.20786186,-84.84919388,226016,"35.20786186,-84.84919388",1,1
14,1,HomeGoods,FL,26.36580292,-80.17252744,569734,"26.36580292,-80.17252744",1,1
15,2,HomeGoods,FL,28.23777963,-80.72697222,522058,"28.23777963,-80.72697222",2,1
16,3,HomeGoods,FL,27.79487277,-82.72993464,489856,"27.79487277,-82.72993464",2,1
17,4,HomeGoods,FL,26.19937225,-81.80254251,485955,"26.19937225,-81.80254251",0,0
18,5,HomeGoods,FL,28.01412693,-82.73205985,477152,"28.01412693,-82.73205985",2,1
19,6,HomeGoods,FL,30.19231757,-81.54927783,463562,"30.19231757,-81.54927783",1,1
20,7,HomeGoods,FL,29.14093156,-82.1923159,461838,"29.14093156,-82.1923159",1,1
21,8,HomeGoods,FL,26.43845946,-80.0875143,455531,"26.43845946,-80.0875143",1,1
22,9,HomeGoods,FL,26.00951958,-80.29762476,453034,"26.00951958,-80.29762476",2,1
23,10,HomeGoods,FL,26.61141935,-81.93928049,445372,"26.61141935,-81.93928049",1,1
24,11,HomeGoods,FL,30.18752975,-85.66929318,436436,"30.18752975,-85.66929318",0,0
25,12,HomeGoods,FL,27.39095759,-82.45131561,432976,"27.39095759,-82.45131561",4,1
26,13,HomeGoods,FL,26.27045514,-80.2048016,428685,"26.27045514,-80.2048016",1,1
27,14,HomeGoods,FL,27.92150533,-82.31622451,413292,"27.92150533,-82.31622451",0,0
28,15,HomeGoods,FL,27.17784963,-80.23397274,412995,"27.17784963,-80.23397274",1,1
29,16,HomeGoods,FL,28.12517003,-82.50067145,396596,"28.12517003,-82.50067145",0,0
30,17,HomeGoods,FL,26.81035612,-80.10442322,395674,"26.81035612,-80.10442322",1,1
31,18,HomeGoods,FL,28.19575308,-82.39523618,393463,"28.19575308,-82.39523618",1,1
32,19,HomeGoods,FL,27.97878626,-81.96002689,374706,"27.97878626,-81.96002689",1,1
33,20,HomeGoods,FL,28.64519247,-81.26554995,349056,"28.64519247,-81.26554995",1,1
34,21,HomeGoods,FL,26.1436978,-80.31846758,348545,"26.1436978,-80.31846758",2,1
35,22,HomeGoods,FL,25.98144866,-80.35700351,343936,"25.98144866,-80.35700351",1,1
36,23,HomeGoods,FL,27.00886746,-82.13459966,342255,"27.00886746,-82.13459966",1,1
37,24,HomeGoods,FL,26.04303387,-80.159139,339994,"26.04303387,-80.159139",0,0
38,25,HomeGoods,FL,26.54326572,-81.87256439,339711,"26.54326572,-81.87256439",2,1
39,26,HomeGoods,FL,26.72503533,-80.09046643,339550,"26.72503533,-80.09046643",2,1
40,27,HomeGoods,FL,30.26986432,-81.39007952,338604,"30.26986432,-81.39007952",1,1
41,28,HomeGoods,FL,30.51274856,-84.24940791,335144,"30.51274856,-84.24940791",0,0
42,29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",1,1
43,30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",3,1
44,31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",2,1
45,32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",1,1
46,33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",1,1
47,34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",1,1
48,35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",0,0
49,36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",2,1
50,37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",0,0
51,38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",2,1
52,39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",1,1
53,40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",1,1
54,41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",0,0
55,42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",1,1
56,43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",1,1
57,44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",1,1
58,45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",2,1
59,46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",0,0
60,47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",3,1
61,48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",1,1
62,49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",1,1
63,50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",1,1
64,51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",0,0
65,52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",1,1
66,1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",0,0
67,2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",1,1
68,3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",0,0
69,4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0
70,5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",1,1
71,6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",0,0
72,7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",0,0
73,1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",0,0
74,2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",2,1
75,3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",3,1
76,4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",0,0
77,5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",1,1
78,6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",2,1
79,7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",2,1
80,8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",2,1
81,9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",1,1
82,10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",2,1
83,11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",1,1
84,12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",2,1
85,13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",0,0
86,14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",3,1
87,15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",2,1
88,16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",2,1
89,17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",1,1
90,18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",1,1
91,19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",1,1
92,20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",1,1
93,21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",0,0
94,22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",2,1
95,1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",1,1
96,2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",0,0
97,3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",0,0
98,4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",0,0
99,5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",1,1
100,6,T.J. Maxx,FL,26.15151895,-80.32182243,697556,"26.15151895,-80.32182243",3,1
101,7,T.J. Maxx,FL,28.75430353,-81.34597083,673708,"28.75430353,-81.34597083",1,1
102,8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",0,0
103,9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",1,1
104,10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",2,1
105,11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",1,1
106,12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",2,1
107,13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",1,1
108,14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",1,1
109,15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",1,1
110,16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",2,1
111,17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",2,1
112,18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",0,0
113,19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",0,0
114,20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",2,1
115,21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",2,1
116,22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",1,1
117,23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",2,1
118,24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",0,0
119,25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",2,1
120,26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",0,0
121,27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",1,1
122,28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",0,0
123,29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",1,1
124,30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",1,1
125,31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",0,0
126,32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",1,1
127,33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",1,1
128,34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",0,0
129,35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",1,1
130,36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",4,1
131,37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",2,1
132,38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",0,0
133,39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",1,1
134,40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",0,0
135,41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",2,1
136,42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",1,1
137,43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",1,1
138,44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",0,0
139,45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",1,1
140,46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",1,1
141,47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",0,0
142,48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",0,0
143,49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",0,0
144,50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",1,1
145,51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",0,0
146,52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",1,1
147,53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",1,1
148,54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",1,1
149,55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",0,0
150,56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",0,0
151,57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",1,1
152,58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",0,0
153,59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",2,1
154,60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",1,1
155,61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",0,0
156,62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",2,1
157,63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",1,1
158,64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",1,1
159,65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",0,0
160,66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",0,0
